in,out,Month_Start,Year_Start,in_up,in_down,out_up,out_down
55040087.0,544081067.0,256,256,0.0,0.0,0.0,0.0
128355950.85714285,1548699540.5714285,0,0,128355950.85714285,0.0,1548699540.5714285,0.0
134956550.85714287,1562482549.7142856,0,0,134956550.85714287,0.0,1562482549.7142856,0.0
154850965.7142857,1763358201.142857,0,0,154850965.7142857,0.0,1763358201.142857,0.0
170757284.57142857,1828013320.0,256,0,170757284.57142857,0.0,1828013320.0,0.0
157411725.7142857,1793234867.4285715,0,0,0.0,157411725.7142857,0.0,1793234867.4285715
149199904.0,1750656219.4285715,0,0,0.0,149199904.0,0.0,1750656219.4285715
155247369.14285713,1728820977.142857,0,0,155247369.14285713,0.0,0.0,1728820977.142857
143420387.42857143,1743736092.5714285,256,0,0.0,143420387.42857143,1743736092.5714285,0.0
176034488.0,1855015130.2857144,0,0,176034488.0,0.0,1855015130.2857144,0.0
164595444.57142857,1836238662.857143,0,0,0.0,164595444.57142857,0.0,1836238662.857143
168277177.14285713,1818967266.2857144,0,0,168277177.14285713,0.0,0.0,1818967266.2857144
171029449.14285713,1758035068.5714285,0,0,171029449.14285713,0.0,0.0,1758035068.5714285
148486216.0,1492038854.857143,256,0,0.0,148486216.0,0.0,1492038854.857143
75538661.71428572,596833530.2857143,0,0,0.0,75538661.71428572,0.0,596833530.2857143
63888301.71428572,554160964.5714285,0,0,0.0,63888301.71428572,0.0,554160964.5714285
86370552.0,894011013.7142857,0,0,86370552.0,0.0,894011013.7142857,0.0
153595782.85714287,1695157625.142857,256,0,153595782.85714287,0.0,1695157625.142857,0.0
150390329.14285713,1670345828.5714285,0,0,0.0,150390329.14285713,0.0,1670345828.5714285
148607723.42857143,1719251066.2857144,0,0,0.0,148607723.42857143,1719251066.2857144,0.0
128826416.0,1496499928.0,0,0,0.0,128826416.0,0.0,1496499928.0
93069782.85714285,1015160286.8571428,256,0,0.0,93069782.85714285,0.0,1015160286.8571428
77044538.28571428,735243547.4285715,0,0,0.0,77044538.28571428,0.0,735243547.4285715
42206374.85714286,436739883.4285714,0,0,0.0,42206374.85714286,0.0,436739883.4285714
40007066.28571428,401201833.14285713,0,0,0.0,40007066.28571428,0.0,401201833.14285713
41979741.71428572,394485401.14285713,0,0,41979741.71428572,0.0,0.0,394485401.14285713
37201100.571428575,296685972.5714286,256,0,0.0,37201100.571428575,0.0,296685972.5714286
38673853.71428572,362170706.28571427,0,0,38673853.71428572,0.0,362170706.28571427,0.0
45598595.428571425,321572486.85714287,0,0,45598595.428571425,0.0,0.0,321572486.85714287
34330923.428571425,294165452.5714286,0,0,0.0,34330923.428571425,0.0,294165452.5714286
33193229.714285713,331859494.85714287,256,0,0.0,33193229.714285713,331859494.85714287,0.0
31437957.714285713,295584148.5714286,0,0,0.0,31437957.714285713,0.0,295584148.5714286
43131851.428571425,287796099.4285714,0,0,43131851.428571425,0.0,0.0,287796099.4285714
31109086.85714286,235820061.7142857,0,0,0.0,31109086.85714286,0.0,235820061.7142857
29246491.42857143,193966860.57142857,256,0,0.0,29246491.42857143,0.0,193966860.57142857
32451885.714285713,231562758.85714287,0,0,32451885.714285713,0.0,231562758.85714287,0.0
31145685.714285713,221559385.14285713,0,0,0.0,31145685.714285713,0.0,221559385.14285713
30916449.14285714,239208539.42857143,0,0,0.0,30916449.14285714,239208539.42857143,0.0
68747872.0,625589274.2857143,0,0,68747872.0,0.0,625589274.2857143,0.0
148289549.7142857,1840263134.857143,256,0,148289549.7142857,0.0,1840263134.857143,0.0
148625646.85714287,1974918456.0,0,0,148625646.85714287,0.0,1974918456.0,0.0
157397320.0,1946879638.857143,0,0,157397320.0,0.0,0.0,1946879638.857143
154133142.85714287,1962594197.7142856,0,0,0.0,154133142.85714287,1962594197.7142856,0.0
147087554.2857143,1819222630.857143,256,0,0.0,147087554.2857143,0.0,1819222630.857143
161625246.85714287,1942147470.857143,0,0,161625246.85714287,0.0,1942147470.857143,0.0
156993492.57142857,1827922205.7142856,0,0,0.0,156993492.57142857,0.0,1827922205.7142856
165090307.42857143,1934406233.142857,0,0,165090307.42857143,0.0,1934406233.142857,0.0
158053460.57142857,1892664184.0,256,0,0.0,158053460.57142857,0.0,1892664184.0
157088020.57142857,2005255592.0,0,0,0.0,157088020.57142857,2005255592.0,0.0
150886530.2857143,1995030699.4285715,0,0,0.0,150886530.2857143,0.0,1995030699.4285715
108252125.71428572,1377283110.857143,0,0,0.0,108252125.71428572,0.0,1377283110.857143
25175156.57142857,200892683.42857143,0,0,0.0,25175156.57142857,0.0,200892683.42857143
47366094.4,386097958.4,256,256,47366094.4,0.0,386097958.4,0.0
103563482.28571428,907132419.4285715,0,0,103563482.28571428,0.0,907132419.4285715,0.0
159711154.2857143,1744928326.857143,0,0,159711154.2857143,0.0,1744928326.857143,0.0
151083336.0,1746813682.2857144,0,0,0.0,151083336.0,1746813682.2857144,0.0
176765221.7142857,1956229573.7142856,256,0,176765221.7142857,0.0,1956229573.7142856,0.0
166546890.2857143,2044651618.2857144,0,0,0.0,166546890.2857143,2044651618.2857144,0.0
161241051.42857143,2044425609.142857,0,0,0.0,161241051.42857143,0.0,2044425609.142857
159233478.85714287,1954016953.142857,0,0,0.0,159233478.85714287,0.0,1954016953.142857
183048388.57142857,2000163819.4285715,256,0,183048388.57142857,0.0,2000163819.4285715,0.0
202295990.85714287,2007397571.4285715,0,0,202295990.85714287,0.0,2007397571.4285715,0.0
189926411.42857143,2218833921.142857,0,0,0.0,189926411.42857143,2218833921.142857,0.0
183638403.42857143,1432224955.4285715,0,0,0.0,183638403.42857143,0.0,1432224955.4285715
155399920.0,545507913.1428572,0,0,0.0,155399920.0,0.0,545507913.1428572
91384260.57142857,413042122.28571427,256,0,0.0,91384260.57142857,0.0,413042122.28571427
92214027.42857143,338075996.5714286,0,0,92214027.42857143,0.0,0.0,338075996.5714286
93305803.42857143,375909496.0,0,0,93305803.42857143,0.0,375909496.0,0.0
130865880.0,372019955.4285714,0,0,130865880.0,0.0,0.0,372019955.4285714
112487124.57142857,399250778.28571427,256,0,0.0,112487124.57142857,399250778.28571427,0.0
101029186.28571428,380531035.4285714,0,0,0.0,101029186.28571428,0.0,380531035.4285714
100885353.14285715,385366952.0,0,0,0.0,100885353.14285715,385366952.0,0.0
95605394.28571428,336966594.28571427,0,0,0.0,95605394.28571428,0.0,336966594.28571427
76452355.42857143,318429371.4285714,0,0,0.0,76452355.42857143,0.0,318429371.4285714
91226978.28571428,370499062.85714287,256,0,91226978.28571428,0.0,370499062.85714287,0.0
119764515.42857143,329240938.28571427,0,0,119764515.42857143,0.0,0.0,329240938.28571427
82106889.14285715,293195570.28571427,0,0,0.0,82106889.14285715,0.0,293195570.28571427
75513333.71428572,255111123.42857143,0,0,0.0,75513333.71428572,0.0,255111123.42857143
72905241.33333333,232384282.66666666,256,0,0.0,72905241.33333333,0.0,232384282.66666666
77647125.71428572,240313312.0,0,0,77647125.71428572,0.0,240313312.0,0.0
81551370.28571428,238392168.0,0,0,81551370.28571428,0.0,0.0,238392168.0
94313106.28571428,225212458.2857143,0,0,94313106.28571428,0.0,0.0,225212458.2857143
88910681.14285715,207391514.2857143,256,0,0.0,88910681.14285715,0.0,207391514.2857143
87134520.0,222027334.85714287,0,0,0.0,87134520.0,222027334.85714287,0.0
105749512.0,223750298.2857143,0,0,105749512.0,0.0,223750298.2857143,0.0
97501370.28571428,210630008.0,0,0,0.0,97501370.28571428,0.0,210630008.0
77338828.57142857,209649158.85714287,0,0,0.0,77338828.57142857,0.0,209649158.85714287
95861165.71428572,235319762.2857143,256,0,95861165.71428572,0.0,235319762.2857143,0.0
91913985.14285715,254795893.7142857,0,0,0.0,91913985.14285715,254795893.7142857,0.0
104759376.0,329716452.5714286,0,0,104759376.0,0.0,329716452.5714286,0.0
130596963.42857143,526979923.4285714,0,0,130596963.42857143,0.0,526979923.4285714,0.0
255150518.85714287,1729146699.4285715,256,0,255150518.85714287,0.0,1729146699.4285715,0.0
269311938.28571427,1711327531.4285715,0,0,269311938.28571427,0.0,0.0,1711327531.4285715
254241342.85714287,1751254258.2857144,0,0,0.0,254241342.85714287,1751254258.2857144,0.0
259530627.42857143,1616900542.857143,0,0,259530627.42857143,0.0,0.0,1616900542.857143
239614899.42857143,1579945534.857143,256,0,0.0,239614899.42857143,0.0,1579945534.857143
286004466.28571427,1654159317.7142856,0,0,286004466.28571427,0.0,1654159317.7142856,0.0
277186464.0,1884166145.142857,0,0,0.0,277186464.0,1884166145.142857,0.0
276898654.85714287,1803983948.5714285,0,0,0.0,276898654.85714287,0.0,1803983948.5714285
279185313.14285713,1814987688.0,0,0,279185313.14285713,0.0,1814987688.0,0.0
246488121.14285713,1544403349.7142856,256,0,0.0,246488121.14285713,0.0,1544403349.7142856
156491244.57142857,681478318.8571428,0,0,0.0,156491244.57142857,0.0,681478318.8571428
139481986.2857143,500239924.5714286,0,0,0.0,139481986.2857143,0.0,500239924.5714286
51310498.28571428,245381546.2857143,0,0,0.0,51310498.28571428,0.0,245381546.2857143
44059376.0,245611842.0,0,0,0.0,44059376.0,245611842.0,0.0
137788878.85714287,621296382.8571428,0,0,137788878.85714287,0.0,621296382.8571428,0.0
172017555.42857143,801507481.1428572,0,0,172017555.42857143,0.0,801507481.1428572,0.0
174992683.42857143,841693323.4285715,0,0,174992683.42857143,0.0,841693323.4285715,0.0
178889166.85714287,851837266.2857143,0,0,178889166.85714287,0.0,851837266.2857143,0.0
186574344.0,891451557.7142857,256,0,186574344.0,0.0,891451557.7142857,0.0
188299785.14285713,881860256.0,0,0,188299785.14285713,0.0,0.0,881860256.0
197366314.2857143,878608851.4285715,0,0,197366314.2857143,0.0,0.0,878608851.4285715
186699166.85714287,899922246.8571428,0,0,0.0,186699166.85714287,899922246.8571428,0.0
192866005.7142857,948211626.2857143,256,0,192866005.7142857,0.0,948211626.2857143,0.0
232116746.2857143,1093465588.5714285,0,0,232116746.2857143,0.0,1093465588.5714285,0.0
232803521.14285713,1142766554.2857144,0,0,232803521.14285713,0.0,1142766554.2857144,0.0
204991675.42857143,1009017214.8571428,0,0,0.0,204991675.42857143,0.0,1009017214.8571428
130501625.14285715,688892300.5714285,256,0,0.0,130501625.14285715,0.0,688892300.5714285
117986860.57142857,655013040.0,0,0,0.0,117986860.57142857,0.0,655013040.0
163240758.85714287,838835803.4285715,0,0,163240758.85714287,0.0,838835803.4285715,0.0
233350678.85714287,1333679034.2857144,0,0,233350678.85714287,0.0,1333679034.2857144,0.0
291193780.5714286,1402109533.7142856,256,0,291193780.5714286,0.0,1402109533.7142856,0.0
252644601.14285713,1447812249.142857,0,0,0.0,252644601.14285713,1447812249.142857,0.0
250890288.0,1406143832.0,0,0,0.0,250890288.0,0.0,1406143832.0
231116057.14285713,1369514044.5714285,0,0,0.0,231116057.14285713,0.0,1369514044.5714285
211972237.7142857,1274995973.7142856,0,0,0.0,211972237.7142857,0.0,1274995973.7142856
165392773.7142857,1085340001.142857,256,0,0.0,165392773.7142857,0.0,1085340001.142857
162446661.7142857,795255805.7142857,0,0,0.0,162446661.7142857,0.0,795255805.7142857
119589530.28571428,341325230.85714287,0,0,0.0,119589530.28571428,0.0,341325230.85714287
333810529.14285713,315592240.0,0,0,333810529.14285713,0.0,0.0,315592240.0
644958117.7142857,293786883.4285714,256,0,644958117.7142857,0.0,0.0,293786883.4285714
331228139.4285714,295462573.71428573,0,0,0.0,331228139.4285714,295462573.71428573,0.0
181473617.14285713,300011862.85714287,0,0,0.0,181473617.14285713,300011862.85714287,0.0
173686821.7142857,267022341.7142857,0,0,0.0,173686821.7142857,0.0,267022341.7142857
184055787.42857143,267057432.0,256,0,184055787.42857143,0.0,267057432.0,0.0
146908221.7142857,232505046.85714287,0,0,0.0,146908221.7142857,0.0,232505046.85714287
141588873.14285713,266911442.2857143,0,0,0.0,141588873.14285713,266911442.2857143,0.0
139557116.57142857,237103443.42857143,0,0,0.0,139557116.57142857,0.0,237103443.42857143
131145083.42857143,213254889.14285713,0,0,0.0,131145083.42857143,0.0,213254889.14285713
142755425.14285713,209743253.7142857,256,0,142755425.14285713,0.0,0.0,209743253.7142857
151095413.7142857,247225275.42857143,0,0,151095413.7142857,0.0,247225275.42857143,0.0
186797331.42857143,309502413.71428573,0,0,186797331.42857143,0.0,309502413.71428573,0.0
202598385.14285713,693263733.7142857,0,0,202598385.14285713,0.0,693263733.7142857,0.0
349980579.4285714,2100779249.142857,256,0,349980579.4285714,0.0,2100779249.142857,0.0
362737525.71428573,2171436134.857143,0,0,362737525.71428573,0.0,2171436134.857143,0.0
353868297.14285713,2236655458.285714,0,0,0.0,353868297.14285713,2236655458.285714,0.0
363374584.0,2228635877.714286,0,0,363374584.0,0.0,0.0,2228635877.714286
382228637.71428573,2153777865.142857,0,0,382228637.71428573,0.0,0.0,2153777865.142857
368544323.4285714,2320611340.571429,256,0,0.0,368544323.4285714,2320611340.571429,0.0
357250897.14285713,2355679942.857143,0,0,0.0,357250897.14285713,2355679942.857143,0.0
389639069.71428573,2322231380.571429,0,0,389639069.71428573,0.0,0.0,2322231380.571429
373373518.85714287,2199949417.142857,0,0,0.0,373373518.85714287,0.0,2199949417.142857
370353742.85714287,2304200656.0,256,0,0.0,370353742.85714287,2304200656.0,0.0
391236886.85714287,2534542344.0,0,0,391236886.85714287,0.0,2534542344.0,0.0
317656624.0,1752931371.4285715,0,0,0.0,317656624.0,0.0,1752931371.4285715
140369762.2857143,499284733.71428573,0,0,0.0,140369762.2857143,0.0,499284733.71428573
199571492.8,323959849.6,0,0,199571492.8,0.0,0.0,323959849.6
45776045.333333336,300152826.6666667,256,256,0.0,45776045.333333336,0.0,300152826.6666667
1088633909.3333333,731231637.3333334,0,0,1088633909.3333333,0.0,731231637.3333334,0.0
